"query_id","query","query_run","passage_id","passage","generated_answer"
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[1]","Sinh viên tốt nghiệp Chương trình đào tạo Cử nhân chính quy ngành Công nghệ Thông tin Việt – Nhật có khả năng làm việc ở những phạm vi và lĩnh vực khác nhau như:","Dựa trên các tài liệu được cung cấp, sinh viên tốt nghiệp ngành Cử nhân Công nghệ Thông tin có thể làm việc trong nhiều phạm vi và lĩnh vực khác nhau, cụ thể như:

| Công việc sau tốt nghiệp |
|---|
| Tham mưu, tư vấn |
| Tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT |
| Nghiên cứu phát triển và ứng dụng công nghệ thông tin |

**Nguồn tài liệu:**

*   Cử Nhân Công Nghệ Thông Tin Nhật - 1.2
*   Cử nhân Công Nghệ Thông Tin - 1\. GIỚI THIỆU CHUNG - 1.1. Mục tiêu đào tạo
*   Cử nhân Công Nghệ Thông Tin Văn Bằng Đại Học Thứ 2 - 1.1. Mục tiêu đào tạo
*   Cử nhân Công Nghệ Thông Tin Liên Thông - 1.1. Mục tiêu đào tạo"
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[2]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin có phẩm chất chính trị tốt, có đạo đức nghề nghiệp, có ý thức trách nhiệm tổ chức, và có sức khỏe tốt; nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. Bên cạnh đó,",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[3]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[4]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q001","Ngành Kỹ thuật Máy tính có thể làm những công việc gì sau khi tốt nghiệp?","1","[5]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học hoàn thiện các kiến thức, kỹ năng đạt trình độ cử nhân từ cấp độ cao đẳng. Bên",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[1]","Khối lượng kiến thức toàn khóa gồm 130 tín chỉ được phân bổ như sau:
**Bảng2. Khối lượng kiến thức toàn khóa**
|                                                                             |                                                      |                                                                                         |                                |","Thông tin này không có trong ngữ cảnh được cung cấp."
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[2]","**Tổng cộng 44 tín chỉ,**gồm 2 phần sau:
\- **Phần 1: Bắt buộc** đối với tất cả sinh viên của ngành, nhằm cung cấp kiến thức nền tảng về lập trình, cơ sở dữ liệu, mạng máy tính, phần cứng máy tính. **Tổng cộng 25 tín chỉ**, gồm các môn học trong bảng sau:
|                     |                |                                      |        |        |        |
| ------------------- | -------------- | ------------------------------------ | ------ | ------ | ------ |",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[3]","**Tổng cộng 70 tín chỉ**.
#### 3.4.1. Nhóm các môn học cơ sở ngành
**Tổng cộng 44 tín chỉ,**gồm 2 phần sau **:**
\- **Phần 1: B** **ắt buộc** đối với tất cả sinh viên của ngành, nhằm cung cấp kiến thức nền tảng về lập trình, cơ sở dữ liệu, mạng máy tính, phần cứng máy tính. **Tổng cộng 25 tín chỉ** , gồm các môn học trong bảng sau:
|                     |            |                                      |        |        |        |",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[4]","![](/sites/daa/files/uploads/vb2_cntt_khung_ct_2024.png)",""
"Q002","Chương trình Kỹ thuật Máy tính có bao nhiêu tín chỉ tổng cộng, phân bổ giữa các khối kiến thức chính như thế nào?","1","[5]","![](/sites/daa/files/uploads/3.2_cntt_2024.png)",""
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[1]","Sinh viên tốt nghiệp chương trình đào tạo Cử nhân chính quy Văn bằng Đại học thứ 2 ngành Công nghệ thông tin phải đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:
− (LO1) Nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành Công nghệ thông tin và thực tiễn (abet 3.1).
− (LO2) Nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành Công nghệ thông tin để ứng dụng vào thực tiễn (abet 3.2, gac 2.b).","Dựa trên ngữ cảnh được cung cấp, thông tin cụ thể về thứ tự học các môn nền tảng trong hai năm đầu cho chương trình Cử nhân Công nghệ Thông tin không được liệt kê chi tiết. Tuy nhiên, các môn nền tảng quan trọng được đề cập bao gồm:

| Môn học                     |
| -------------------------- |
| Kiến trúc máy tính           |
| Hệ điều hành                 |
| Lập trình (không được liệt kê cụ thể) |
| Cấu trúc dữ liệu (không được liệt kê cụ thể) |

**Lưu ý:** Ngữ cảnh chỉ cung cấp thông tin về các môn học *nền tảng* mà không phân loại thứ tự học cụ thể."
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[2]","Sinh viên tốt nghiệp chương trình đào tạo Cử nhân chính quy Văn bằng Đại học thứ 2 ngành Công nghệ thông tin phải đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:
− (LO1) Nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành Công nghệ thông tin và thực tiễn (abet 3.1).
− (LO2) Nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành Công nghệ thông tin để ứng dụng vào thực tiễn (abet 3.2, gac 2.b).",""
